City,Cuisine,count
Amsterdam,"[ 'Moroccan', 'Mediterranean', 'Middle Eastern', 'African', 'Vegetarian Friendly', 'Vegan Options', 'Halal' ]",1
Amsterdam,"[ 'Mexican', 'Latin', 'Vegetarian Friendly' ]",2
Amsterdam,"[ 'Bar', 'Dutch', 'Cafe', 'International', 'European' ]",1
Amsterdam,"[ 'Cafe', 'French', 'Dutch', 'European', 'Vegetarian Friendly' ]",1
Athens,"[ 'Mediterranean', 'European', 'Greek', 'Contemporary', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",2
Athens,"[ 'Barbecue', 'Greek' ]",2
Athens,"[ 'French', 'Greek' ]",1
Barcelona,"[ 'Bar', 'Spanish', 'European', 'Pub', 'Vegetarian Friendly' ]",1
Barcelona,"[ 'Japanese', 'Sushi', 'Vegetarian Friendly', 'Vegan Options' ]",1
Barcelona,"[ 'Cafe', 'European', 'Vegetarian Friendly' ]",2
Barcelona,"[ 'Mediterranean', 'European', 'Spanish', 'Grill', 'Vegetarian Friendly' ]",1
Barcelona,"[ 'Cafe', 'Mediterranean', 'Italian', 'Bar' ]",1
Barcelona,"[ 'Mexican', 'International', 'Mediterranean', 'Asian', 'Healthy', 'Italian' ]",1
Barcelona,"[ 'Steakhouse', 'Barbecue', 'Spanish', 'Grill' ]",1
Berlin,"[ 'Bar', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Berlin,[ 'Pub' ],15
Berlin,"[ 'Asian', 'Tibetan', 'Nepali', 'Vegetarian Friendly', 'Vegan Options' ]",2
Berlin,"[ 'Italian', 'Pizza', 'Mediterranean' ]",16
Berlin,"[ 'Japanese', 'Sushi', 'Asian', 'Seafood', 'Vegetarian Friendly' ]",5
Berlin,"[ 'Italian', 'Mediterranean', 'Grill' ]",2
Berlin,"[ 'Cafe', 'International' ]",1
Berlin,"[ 'German', 'Cafe', 'Diner', 'Wine Bar', 'Soups' ]",1
Berlin,"[ 'Asian', 'Fast Food', 'Thai', 'Vietnamese', 'Vegetarian Friendly' ]",1
Bratislava,"[ 'Barbecue', 'Pub', 'Gastropub' ]",1
Brussels,"[ 'Belgian', 'Seafood', 'European', 'Soups', 'Gluten Free Options' ]",1
Brussels,"[ 'Chinese', 'Fast Food', 'Asian', 'Vegetarian Friendly', 'Vegan Options' ]",1
Brussels,"[ 'Belgian', 'Fast Food', 'European', 'Diner', 'Hungarian' ]",1
Budapest,"[ 'Indian', 'Asian', 'Halal', 'Vegetarian Friendly', 'Vegan Options' ]",1
Budapest,"[ 'French', 'European', 'Hungarian', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Budapest,"[ 'European', 'Eastern European', 'Central European', 'Hungarian', 'Vegetarian Friendly', 'Vegan Options', 'Kosher' ]",1
Budapest,"[ 'Italian', 'Pizza', 'Fast Food', 'European', 'Vegetarian Friendly' ]",1
Budapest,[ 'Thai' ],4
Budapest,"[ 'Fast Food', 'Diner', 'Healthy', 'Soups' ]",1
Budapest,"[ 'Peruvian', 'South American', 'Hungarian' ]",1
Budapest,"[ 'European', 'Spanish' ]",1
Budapest,"[ 'Cafe', 'Grill' ]",1
Budapest,"[ 'European', 'Pub', 'Gastropub', 'Hungarian' ]",1
Copenhagen,"[ 'Cafe', 'Scandinavian', 'Danish', 'European', 'Vegetarian Friendly' ]",4
Copenhagen,"[ 'Fast Food', 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options' ]",1
Copenhagen,"[ 'Barbecue', 'European', 'Grill', 'Eastern European', 'Croatian' ]",1
Dublin,"[ 'Cafe', 'Healthy', 'Gluten Free Options', 'Vegetarian Friendly' ]",1
Dublin,"[ 'Seafood', 'Irish' ]",1
Dublin,"[ 'Steakhouse', 'European', 'Asian' ]",1
Edinburgh,"[ 'Cafe', 'British', 'Diner', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Edinburgh,"[ 'Bar', 'Fast Food', 'British', 'Pub', 'Scottish', 'Vegetarian Friendly' ]",1
Edinburgh,"[ 'Steakhouse', 'Scottish', 'Wine Bar', 'Gastropub', 'Gluten Free Options', 'Vegetarian Friendly' ]",1
Edinburgh,"[ 'Italian', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options' ]",1
Edinburgh,"[ 'Fast Food', 'Seafood' ]",2
Edinburgh,"[ 'Indian', 'Thai' ]",1
Geneva,"[ 'American', 'Fast Food', 'Vegetarian Friendly' ]",2
Geneva,"[ 'Mexican', 'Vegetarian Friendly', 'Vegan Options' ]",1
Helsinki,"[ 'European', 'Scandinavian', 'International', 'Gluten Free Options', 'Vegetarian Friendly' ]",1
Helsinki,"[ 'European', 'Spanish', 'Fusion' ]",1
Helsinki,"[ 'Seafood', 'Scandinavian', 'European', 'Vegetarian Friendly' ]",1
Helsinki,"[ 'Cafe', 'European', 'Delicatessen', 'Scandinavian', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Krakow,"[ 'Chinese', 'Asian', 'Vietnamese', 'Vegetarian Friendly' ]",1
Krakow,[ 'Italian' ],18
Krakow,"[ 'Chinese', 'Vietnamese' ]",1
Lisbon,"[ 'Pizza', 'Mediterranean', 'European', 'Italian', 'Vegetarian Friendly', 'Vegan Options' ]",1
Lisbon,"[ 'Mediterranean', 'European', 'Portuguese', 'Spanish' ]",4
Lisbon,[ 'African' ],8
Lisbon,"[ 'Japanese', 'Sushi', 'Grill', 'Fusion' ]",1
Ljubljana,"[ 'American', 'Barbecue', 'Gastropub', 'Vegetarian Friendly' ]",1
Ljubljana,"[ 'Steakhouse', 'International', 'European', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
London,"[ 'Bar', 'British', 'Gluten Free Options' ]",2
London,"[ 'Italian', 'Pizza', 'International', 'Gluten Free Options', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'Seafood', 'Mediterranean', 'European', 'Portuguese', 'Gluten Free Options' ]",2
London,"[ 'Steakhouse', 'Argentinean' ]",4
London,"[ 'Indian', 'Asian', 'Seafood', 'Bangladeshi', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'European', 'British', 'Cafe', 'Wine Bar', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
London,"[ 'Indian', 'Balti', 'Vegetarian Friendly', 'Vegan Options', 'Halal' ]",1
London,"[ 'Japanese', 'Asian' ]",10
London,"[ 'Cafe', 'Israeli', 'Vegetarian Friendly' ]",1
London,"[ 'British', 'Mediterranean', 'Vegetarian Friendly' ]",1
London,"[ 'Cafe', 'European', 'British', 'Contemporary', 'Healthy' ]",1
London,"[ 'Italian', 'American', 'British', 'Greek' ]",1
London,"[ 'British', 'Fusion', 'American', 'Asian', 'Vegetarian Friendly' ]",1
London,"[ 'Mediterranean', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options' ]",1
London,"[ 'International', 'Asian', 'Middle Eastern' ]",1
London,"[ 'Grill', 'Fusion', 'Steakhouse', 'Mediterranean', 'Barbecue', 'Halal' ]",1
Luxembourg,"[ 'Central European', 'French', 'European', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Lyon,"[ 'French', 'American', 'Vegetarian Friendly' ]",1
Madrid,"[ 'Mediterranean', 'Spanish', 'Vegetarian Friendly', 'Gluten Free Options' ]",18
Madrid,"[ 'Asian', 'Vietnamese', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options' ]",1
Madrid,"[ 'Spanish', 'Mediterranean' ]",67
Madrid,"[ 'American', 'Fast Food', 'Fusion', 'Street Food', 'Venezuelan', 'South American' ]",1
Madrid,"[ 'Mexican', 'Latin', 'Spanish', 'Fusion' ]",1
Madrid,"[ 'Brew Pub', 'Pizza', 'Delicatessen', 'Pub', 'Street Food' ]",1
Madrid,"[ 'Japanese', 'Sushi', 'Asian', 'Soups', 'Vegetarian Friendly', 'Vegan Options' ]",1
Amsterdam,"[ 'Dutch', 'International', 'European', 'Healthy', 'Gluten Free Options' ]",1
Amsterdam,"[ 'Seafood', 'Delicatessen' ]",1
Amsterdam,"[ 'Asian', 'Vietnamese', 'Soups', 'Vegetarian Friendly', 'Vegan Options' ]",2
Amsterdam,"[ 'Mexican', 'Steakhouse', 'Bar', 'Barbecue', 'Argentinean', 'South American', 'Central American' ]",1
Amsterdam,"[ 'Asian', 'Fusion' ]",1
Amsterdam,"[ 'Lebanese', 'Mediterranean', 'Vegetarian Friendly' ]",1
Amsterdam,[ 'Vietnamese' ],1
Amsterdam,"[ 'Indian', 'Asian' ]",2
Amsterdam,"[ 'American', 'Dutch', 'Fast Food', 'European' ]",1
Athens,"[ 'Italian', 'Mediterranean', 'European', 'Vegetarian Friendly' ]",2
Athens,"[ 'Bar', 'Wine Bar' ]",1
Athens,"[ 'Mediterranean', 'Greek', 'European' ]",2
Athens,"[ 'Italian', 'Mediterranean', 'Greek' ]",6
Athens,"[ 'Fusion', 'Vegan Options' ]",1
Athens,"[ 'Greek', 'Grill' ]",4
Barcelona,"[ 'Colombian', 'Mexican', 'Latin', 'Spanish', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",1
Barcelona,"[ 'Bar', 'International', 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options' ]",1
Barcelona,"[ 'International', 'Mediterranean', 'Spanish', 'Fusion', 'Vegetarian Friendly', 'Vegan Options' ]",1
Barcelona,"[ 'International', 'Mediterranean', 'Spanish' ]",4
Barcelona,"[ 'Mediterranean', 'Vegetarian Friendly' ]",16
Barcelona,"[ 'European', 'Romanian' ]",2
Barcelona,"[ 'European', 'Spanish', 'Mediterranean', 'Vegetarian Friendly' ]",1
Barcelona,[ 'Chinese' ],52
Barcelona,"[ 'Moroccan', 'Middle Eastern', 'Vegetarian Friendly', 'Vegan Options', 'Halal' ]",1
Berlin,"[ 'Mediterranean', 'Middle Eastern' ]",1
Berlin,"[ 'Sushi', 'Asian', 'Vietnamese', 'Seafood', 'Vegetarian Friendly' ]",1
Berlin,"[ 'Asian', 'Vietnamese', 'Soups' ]",4
Berlin,"[ 'Seafood', 'Soups', 'European', 'Vegetarian Friendly' ]",1
Berlin,"[ 'German', 'European', 'Wine Bar', 'Grill', 'Central European', 'Vegetarian Friendly' ]",1
Berlin,"[ 'Mediterranean', 'Fusion', 'Healthy', 'Middle Eastern' ]",1
Berlin,"[ 'Italian', 'Diner' ]",3
Berlin,"[ 'Cafe', 'Mediterranean', 'Delicatessen', 'Healthy' ]",1
Brussels,"[ 'American', 'European', 'Vegetarian Friendly', 'Vegan Options' ]",1
Budapest,"[ 'Mediterranean', 'European', 'Spanish', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options' ]",2
Budapest,"[ 'Fast Food', 'European', 'Hungarian', 'Bar', 'Pub' ]",1
Budapest,"[ 'European', 'Spanish', 'Hungarian' ]",1
Budapest,"[ 'Wine Bar', 'European', 'Healthy' ]",1
Budapest,"[ 'European', 'Hungarian', 'International', 'Grill' ]",1
Budapest,"[ 'Central European', 'Hungarian', 'European', 'Eastern European' ]",1
Budapest,"[ 'American', 'International' ]",1
Budapest,"[ 'Bar', 'European', 'Pub', 'Central European', 'Grill' ]",1
